Found total 1983 regions
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11339,2011-11-16,,,,,,4,0,0,4,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11389,2011-12-27,,,,,,3,0,0,3,
11389,2011-12-28,,,,,,6,0,0,7,
11389,2011-12-29,A,200,6,Dso,&beta;,15,2,0,18,
11389,2011-12-30,A,290,8,Eki,&beta;,9,1,0,10,
11389,2011-12-31,A,500,15,Ekc,&beta;&gamma;,0,2,0,3,
11389,2012-01-01,,,,,,2,0,0,3,
11389,2012-01-02,A,420,16,Fko,&beta;,1,0,0,2,
11389,2012-01-03,A,330,21,Fkc,&beta;&gamma;,0,0,0,1,
11389,2012-01-04,A,240,20,Eso,&beta;,1,0,0,1,
11389,2012-01-05,A,280,14,Fko,&beta;,0,0,0,0,
11389,2012-01-06,A,200,5,Cao,&beta;,0,0,0,0,
11389,2012-01-07,A,230,3,Cao,&beta;,1,0,0,1,
11389,2012-01-08,A,210,1,Hsx,&alpha;,1,0,0,1,
11389,2012-01-09,A,180,1,Hsx,&alpha;,0,0,0,0,
11389,2012-01-10,A,210,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11390,2011-12-29,A,10,3,Bxo,&beta;,0,0,0,0,
11390,2011-12-30,A,10,6,Cao,&beta;,0,0,0,0,
11390,2011-12-31,A,40,8,Cso,&beta;,0,0,0,0,
11390,2012-01-01,,,,,,0,0,0,0,
11390,2012-01-02,P,,0,,,0,0,0,0,
11390,2012-01-03,A,10,9,Bxo,&beta;,0,0,0,1,
11390,2012-01-04,A,30,9,Dro,&beta;,0,0,0,0,
11390,2012-01-05,A,70,16,Cai,&beta;,0,0,0,0,
11390,2012-01-06,A,170,12,Dao,&beta;,1,0,0,2,
11390,2012-01-07,A,210,8,Dao,&beta;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11391,2012-01-02,,,,,,1,0,0,4,
11391,2012-01-03,A,120,1,Hsx,&alpha;,0,0,0,1,
11391,2012-01-04,A,240,1,Hsx,&alpha;,0,0,0,1,
11391,2012-01-05,A,510,4,Cho,&beta;,0,0,0,0,
11391,2012-01-06,A,420,10,Dho,&beta;,0,0,0,0,
11391,2012-01-07,A,420,19,Dki,&beta;,0,0,0,0,
11391,2012-01-08,A,370,12,Dko,&beta;,0,0,0,0,
